,ingredients,Calcium,Carbohydrate,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fiber,Iron,Protein,Sodium,Sugars,Fat,Energy
0,"a blend of grape, pineapple, pear and apple juice concentrates and other ingredients contains high fructose corn syrup, pure filtered water, concentrated grape juice, 1 concentrated pineapple, pear and apple juices, natural flavors, citric acid , grape skin extract , sugar",0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.33,0.0,183.0
1,"a mixture of arugula, broccoli, amaranth, beet tops, parsley, radish, kale or others",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
2,"a seasonal blend of organic greens such as: organic kale, organic tuscan kale, organic red kale, organic collard, organic chard",146.0,7.04,0.0,0.0,0.0,3.5,1.41,3.52,70.0,1.41,0.7,42.0
3,"a spicy yet flavorful sea salt blend ingredients: jalapeno chile, sea salt, garlic flakes, garlic granules, cilantro, organic rice hull, mexican oregano made from pure sea salt and a mix of 4 smoky sweet red chiles ingredients: new mexico chile, sea salt, pasilla negra chile, guajillo chile, ancho chile, organic rice hull",14.0,17.57,0.0,0.0,0.0,1.4,0.73,2.03,0.0,0.68,0.0,74.0
4,a water extract of dried prunes,8.0,20.83,0.0,0.0,0.0,0.8000000000000002,0.75,0.42,15.0,9.58,0.0,83.0
5,abalone mushroom water and salt,10.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,284.0,0.0,0.0,8.0
6,"acai , kale, strawberries, apple, blueberries",44.0,8.8,0.0,0.59,0.0,2.3,0.42,1.47,10.0,5.28,1.76,56.0
7,"acai puree , bananas , kiwi, mango, topping , honey, dragon fruit, and citric acid",0.0,21.76,0.0,1.18,0.0,3.5,0.59,1.76,0.0,12.94,3.53,129.0
8,"acai puree , bananas , pineapple, blueberries, topping , honey, almond butter, pea protein powder, and citric acid",18.0,21.76,0.0,0.59,0.0,3.5,0.59,2.94,9.0,13.53,4.12,135.0
9,"acai puree , bananas , strawberries, blueberries, granola topping , honey, and citric acid",0.0,20.59,0.0,1.18,0.0,4.1,0.59,1.76,0.0,11.18,3.53,124.0
10,"acai, filtered water, sugar, guarana extract powder, citric acid",15.0,13.0,0.0,1.5,0.0,3.0,0.0,1.0,10.0,10.0,6.0,110.0
11,"acai, red grape , strawberry, avocado, blueberry, chia seeds , cauliflower",30.0,11.11,0.0,0.51,0.0,4.0,0.51,1.01,10.0,6.06,4.04,81.0
12,acerola puree,20.0,6.0,0.0,0.0,0.0,1.0,0.36,0.0,10.0,2.0,0.0,25.0
13,"ackee, water and salt",0.0,0.0,0.0,4.72,0.0,0.0,0.0,3.77,377.0,0.0,13.21,151.0
14,"ackee, water, & salt",40.0,0.01,0.0,3.5,0.0,2.0,1.08,4.0,125.0,0.0,9.0,140.0
15,"ackee, water, salt",40.0,11.0,0.0,3.5,0.0,2.0,1.4400000000000002,4.0,125.0,4.0,9.0,140.0
16,"ackee, water, salt, citric acid",22.0,10.99,0.0,3.85,0.0,3.3,5.49,2.2,176.0,3.3,10.99,154.0
17,"ackees, water and salt",40.0,11.0,2500.0,3.5,0.0,2.0,1.08,4.0,125.0,2.0,9.0,140.0
18,"ackees, water, salt",40.0,11.0,0.0,1.7,0.0,2.0,1.08,4.0,125.0,0.0,9.0,140.0
19,acorn squash,33.0,10.59,0.0,0.0,0.0,1.2,0.69,1.18,0.0,2.35,0.0,47.0
20,adzuki beans,82.0,63.27,0.0,0.0,0.0,12.2,5.51,20.41,0.0,0.0,0.0,327.0
21,"agave syrup 40, apricot 35, dietary fiber 5, pectin, lemon juice, vitamin c",0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,160.0
22,"agave syrup 40, orange 35, dietary fiber 5, pectin, citric acid, ascorbic acid",0.0,40.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,33.33,0.0,173.0
23,"agave syrup 40, strawberries 35, dietary fiber 5, pectin, citric acid, ascorbic acid",0.0,46.669999999999995,0.0,0.0,0.0,6.7,0.0,0.0,0.0,40.0,0.0,200.0
24,"agents: citric acid, color carmine, eggs, canola oil, water, caramel filling {corn syrup , high fructose corn syrup, water, sugar vegetable shortening , dextrose, modified food starch , butter , nonfat dry milk contains 2 or less of each of the following: natural and artificial flavor, mono- and diglycerides, caramel color, salt, potassium sorbate , sodium propionate , yellow 5, red 40, blue 1}, white chocolate curls {sugar, cocoa butter, whole milk powder, lactose, soy lecithin , natural vanilla}, sugar",16.0,49.6,32.0,4.8,0.0,0.4,0.58,2.4,216.0,39.2,16.8,360.0
25,"ajies dulces peppers, cilantro, recao, garlic, onion, green peppers, red peppers",0.0,7.14,0.0,0.0,0.0,3.6,1.29,0.0,0.0,0.0,0.0,36.0
26,alfalfa and clover,24.0,3.53,0.0,0.0,0.0,2.4,0.85,3.53,6.0,0.0,0.59,29.0
27,alfalfa sprouts,36.0,3.57,0.0,0.0,0.0,3.6,0.64,3.57,7.0,0.0,0.0,36.0
28,"alfalfa, clover, and radish",24.0,4.71,0.0,0.0,0.0,2.4,0.85,3.53,18.0,0.0,0.0,29.0
29,"all natural cane sugar, blueberries, pectin , lemon juice , thyme, lemon zest",0.0,80.0,0.0,0.0,0.0,0.0,1.2,0.0,33.0,66.67,0.0,300.0
30,"all natural cane sugar, blueberries, pectin , lime juice, lime zest",0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33,0.0,300.0
31,"all natural cane sugar, figs, water, lemon juice , pectin , basil, lemon zest",0.0,73.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,267.0
32,"all natural cane sugar, peaches, pectin , peppermint leaf, lemon juice",0.0,73.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,267.0
33,"all natural dehydrated apples , cane sugar, spices, and vitamin c",0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,133.0
34,"almond-brazil milk , raspberries, banana, blueberries, elderberry syrup , sea salt",22.0,13.72,0.0,0.0,0.0,2.7,0.72,0.88,66.0,7.08,0.97,61.0
35,"almondmilk , apple juice, peach puree, banana puree, pineapple juice, orange juice, soy protein isolate, natural flavors, salt",13.0,8.22,0.0,0.22,0.0,0.9,0.32,2.44,36.0,5.78,2.89,67.0
36,"almondmilk , banana puree, blueberry puree, agave, oat bran, root fiber, coconut water concentrate, lemon juice concentrate, natural flavor",8.0,9.17,0.0,0.0,0.0,1.2,0.15,0.42,21.0,7.08,0.83,46.0
37,"almondmilk , banana puree, blueberry puree, organic agave nectar, oat bran, root fiber, coconut water concentrate, lemon juice concentrate, natural flavor",6.0,9.54,0.0,0.0,0.0,1.2,0.22,0.62,22.0,7.38,0.92,46.0
38,"almonds, coconut sugar, maqui berry, lucuma, vanilla, camu",200.0,50.0,0.0,0.0,0.0,6.7,3.6,13.33,0.0,36.67,30.0,500.0
39,"aloe juice, aloe pulp , sugar, water, citric acid",0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.8,0.0,28.0
40,"aloe juice, aloe pulp , sugar, water, citric acid, guava flavor",0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.8,0.0,28.0
41,"aloe juice, aloe pulp , sugar, water, citric acid, mango flavor",0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.8,0.0,28.0
